Gene > Secondary Identifier	Gene > Symbol	Gene > DB identifier	Gene > Organism Name	Gene > Cytological Location	Gene > Name	Gene > Description
CG10000	CG10000	FBgn0039596	Drosophila melanogaster	98E3-98E3	""	""
CG10001	AstA-R2	FBgn0039595	Drosophila melanogaster	98E2-98E3	Allatostatin A receptor 2	""
CG10002	fkh	FBgn0000659	Drosophila melanogaster	98D5-98D5	fork head	""
CG10005	CG10005	FBgn0037972	Drosophila melanogaster	87A4-87A4	""	""
CG10006	Zip71B	FBgn0036461	Drosophila melanogaster	71B1-71B1	Zinc/iron regulated transporter-related protein 71B	""
CG10007	Tango9	FBgn0260744	Drosophila melanogaster	87A4-87A4	Transport and Golgi organization 9	""
CG10009	Noa36	FBgn0026400	Drosophila melanogaster	98D6-98D6	Noa36	""
CG10011	CG10011	FBgn0039590	Drosophila melanogaster	98D6-98D7	""	""
CG10013	CG10013	FBgn0038012	Drosophila melanogaster	87B6-87B7	""	""
CG10014	CG10014	FBgn0038000	Drosophila melanogaster	87B2-87B2	""	""
CG10016	drm	FBgn0024244	Drosophila melanogaster	24A1-24A1	drumstick	""
CG10018	Snm1	FBgn0037338	Drosophila melanogaster	83B1-83B2	Snm1	""
CG10019	CG10019	FBgn0031568	Drosophila melanogaster	24C2-24C3	""	""
CG10021	bowl	FBgn0004893	Drosophila melanogaster	24C3-24C4	brother of odd with entrails limited	""
CG10023	Fak	FBgn0020440	Drosophila melanogaster	56D5-56D5	Focal adhesion kinase	""
CG10026	CG10026	FBgn0032785	Drosophila melanogaster	37E1-37E1	""	""
CG10029	CG10029	FBgn0037498	Drosophila melanogaster	84D3-84D3	""	""
CG10031	CG10031	FBgn0031563	Drosophila melanogaster	24B3-24C1	""	""
CG10033	for	FBgn0000721	Drosophila melanogaster	24A2-24A4	foraging	""
CG10034	tj	FBgn0000964	Drosophila melanogaster	37E3-37E3	traffic jam	""
CG10035	CG10035	FBgn0038028	Drosophila melanogaster	87B9-87B9	""	""
CG10036	otp	FBgn0015524	Drosophila melanogaster	57B4-57B4	orthopedia	""
CG10037	vvl	FBgn0086680	Drosophila melanogaster	65C5-65C5	ventral veins lacking	""
CG10038	CG10038	FBgn0038013	Drosophila melanogaster	87B7-87B7	""	""
CG1004	rho	FBgn0004635	Drosophila melanogaster	62A2-62A2	rhomboid	""
CG10041	CG10041	FBgn0038014	Drosophila melanogaster	87B7-87B7	""	""
CG10042	MBD-R2	FBgn0038016	Drosophila melanogaster	87B7-87B8	MBD-R2	""
CG10043	RtGEF	FBgn0015803	Drosophila melanogaster	38C5-38C5	Rho-type guanine nucleotide exchange factor	""
CG10045	GstD1	FBgn0001149	Drosophila melanogaster	87B8-87B8	Glutathione S transferase D1	""
CG10047	Syt4	FBgn0028400	Drosophila melanogaster	84D3-84D3	Synaptotagmin 4	""
CG10050	CG10050	FBgn0037492	Drosophila melanogaster	84D3-84D3	""	""
CG10051	CG10051	FBgn0034437	Drosophila melanogaster	56D2-56D2	""	""
CG10052	Rx	FBgn0020617	Drosophila melanogaster	57B4-57B4	Retinal Homeobox	""
CG10053	CG10053	FBgn0037490	Drosophila melanogaster	84D3-84D3	""	""
CG10055	CG10055	FBgn0037482	Drosophila melanogaster	84D1-84D1	""	""
CG10059	MAGE	FBgn0037481	Drosophila melanogaster	84C7-84C7	MAGE	""
CG10060	Galphai	FBgn0001104	Drosophila melanogaster	65D5-65D5	G protein alpha i subunit	""
CG10061	Sas-4	FBgn0011020	Drosophila melanogaster	84C6-84C7	Spindle assembly abnormal 4 ortholog (C. elegans)	""
CG10062	CG10062	FBgn0034439	Drosophila melanogaster	56D2-56D2	""	""
CG10063	CG10063	FBgn0035727	Drosophila melanogaster	65D5-65D5	""	""
CG10064	CG10064	FBgn0035724	Drosophila melanogaster	65D5-65D5	""	""
CG10067	Act57B	FBgn0000044	Drosophila melanogaster	57B5-57B5	Actin 57B	""
CG10068	CG10068	FBgn0037473	Drosophila melanogaster	84C4-84C4	""	""
CG10069	MFS16	FBgn0034611	Drosophila melanogaster	57D7-57D7	Major Facilitator Superfamily Transporter 16	""
CG1007	emc	FBgn0000575	Drosophila melanogaster	61C9-61C9	extra macrochaetae	""
CG10071	RpL29	FBgn0016726	Drosophila melanogaster	57D8-57D8	Ribosomal protein L29	""
CG10072	sgl	FBgn0261445	Drosophila melanogaster	65D4-65D5	sugarless	""
CG10073	CG10073	FBgn0034440	Drosophila melanogaster	56D2-56D2	""	""
CG10075	CG10075	FBgn0035722	Drosophila melanogaster	65D4-65D4	""	""
CG10076	spir	FBgn0003475	Drosophila melanogaster	38C5-38C5	spire	""
CG10077	CG10077	FBgn0035720	Drosophila melanogaster	65D3-65D4	""	""
CG10078	Prat2	FBgn0041194	Drosophila melanogaster	65D2-65D3	Phosphoribosylamidotransferase 2	""
CG10079	Egfr	FBgn0003731	Drosophila melanogaster	57E9-57F1	Epidermal growth factor receptor	""
CG10080	mahj	FBgn0034641	Drosophila melanogaster	57F4-57F5	mahjong	""
CG10081	CG10081	FBgn0034441	Drosophila melanogaster	56D2-56D3	""	""
CG10082	CG10082	FBgn0034644	Drosophila melanogaster	57F6-57F6	""	""
CG10083	Abp1	FBgn0036372	Drosophila melanogaster	70B2-70B2	Actin binding protein 1	""
CG10084	swm	FBgn0002044	Drosophila melanogaster	37E4-37E4	second mitotic wave missing	""
CG10086	CG10086	FBgn0037517	Drosophila melanogaster	84E1-84E1	""	""
CG10089	CG10089	FBgn0036369	Drosophila melanogaster	70B2-70B2	""	""
CG1009	Psa	FBgn0261243	Drosophila melanogaster	62A3-62A3	Puromycin sensitive aminopeptidase	""
CG10090	Tim17a1	FBgn0038018	Drosophila melanogaster	87B8-87B8	Tim17a1	""
CG10091	GstD9	FBgn0038020	Drosophila melanogaster	87B8-87B8	Glutathione S transferase D9	""
CG10092	ArgRS-m	FBgn0037526	Drosophila melanogaster	84E4-84E4	Arginyl-tRNA synthetase, mitochondrial	""
CG10093	Cyp313a3	FBgn0038007	Drosophila melanogaster	87B3-87B3	Cyp313a3	""
CG10094	Cyp313a2	FBgn0038006	Drosophila melanogaster	87B3-87B3	Cyp313a2	""
CG10095	dpr15	FBgn0037993	Drosophila melanogaster	87A10-87B1	defective proboscis extension response 15	""
CG10096	CG10096	FBgn0038032	Drosophila melanogaster	87B9-87B9	""	""
CG10097	CG10097	FBgn0038033	Drosophila melanogaster	87B9-87B9	""	""
CG10098	CG10098	FBgn0037472	Drosophila melanogaster	84C3-84C4	""	""
CG10101	Ir84a	FBgn0037501	Drosophila melanogaster	84D6-84D6	Ionotropic receptor 84a	""
CG10103	CG10103	FBgn0035715	Drosophila melanogaster	65C3-65C4	""	""
CG10104	CG10104	FBgn0033933	Drosophila melanogaster	51A1-51A1	""	""
CG10105	Sin1	FBgn0033935	Drosophila melanogaster	51A2-51A2	SAPK-interacting protein 1	""
CG10106	Tsp42Ee	FBgn0029506	Drosophila melanogaster	42E5-42E5	Tetraspanin 42Ee	""
CG10107	velo	FBgn0035713	Drosophila melanogaster	65C3-65C3	veloren	""
CG10108	phyl	FBgn0013725	Drosophila melanogaster	51A2-51A2	phyllopod	""
CG10110	Cpsf160	FBgn0024698	Drosophila melanogaster	51A4-51A4	Cleavage and polyadenylation specificity factor 160	""
CG10112	Cpr51A	FBgn0033942	Drosophila melanogaster	51A4-51A4	Cuticular protein 51A	""
CG10113	wa-cup	FBgn0037502	Drosophila melanogaster	84D6-84D6	walker cup	""
CG10116	CG10116	FBgn0036367	Drosophila melanogaster	70B1-70B1	""	""
CG10117	ttv	FBgn0265974	Drosophila melanogaster	51A6-51B4	tout-velu	""
CG10118	ple	FBgn0005626	Drosophila melanogaster	65C3-65C3	pale	""
CG10119	LamC	FBgn0010397	Drosophila melanogaster	51B1-51B1	Lamin C	""
CG10120	Men	FBgn0002719	Drosophila melanogaster	87C6-87C7	Malic enzyme	""
CG10121	SP1173	FBgn0035710	Drosophila melanogaster	65C1-65C3	SP1173	""
CG10122	RpI1	FBgn0019938	Drosophila melanogaster	51B4-51B6	RNA polymerase I subunit	""
CG10123	Top3alpha	FBgn0040268	Drosophila melanogaster	37E4-37E4	Topoisomerase 3alpha	""
CG10124	eIF4E-4	FBgn0035709	Drosophila melanogaster	65C1-65C1	eIF4E-4	""
CG10125	zpg	FBgn0024177	Drosophila melanogaster	65B5-65B5	zero population growth	""
CG10126	CG10126	FBgn0038088	Drosophila melanogaster	87D2-87D2	""	""
CG10128	tra2	FBgn0003742	Drosophila melanogaster	51B6-51B6	transformer 2	""
CG10129	ndl	FBgn0002926	Drosophila melanogaster	65B5-65B5	nudel	""
CG10130	Sec61beta	FBgn0010638	Drosophila melanogaster	51B6-51B6	Sec61 beta subunit	""
